akun_id,peran_id,nama_lengkap,email,plaintext_password,password_hash_algo
AKUN000001,ADMIN,Hendra Purnomo,hendra-purnomo-0017@umkmtumbuh.go.id,ProdukPelatihan2549#,sha256
AKUN000002,ADMIN,Fajar Anwar,fajaranwar2@umkmtumbuh.go.id,UsahaProduk9142!,sha256
AKUN000003,ADMIN,Lestari Astuti,lestari.00003@umkmtumbuh.go.id,PelatihanMaju3506@,sha256
AKUN000004,ADMIN,Andi Artanti,andiartanti4@umkmtumbuh.go.id,PelatihanMandiri3501$,sha256
AKUN000005,ADMIN,Hana Cahyono,hana-cahyono-0085@umkmtumbuh.go.id,PelatihanSejahtera4880%,sha256
AKUN000006,ADMIN,Vina Mutmainah,vina-mutmainah-0102@umkmtumbuh.go.id,KreatifProduk9955%,sha256
AKUN000007,ADMIN,Mega Kusumawati,mega_kusumawati.007@umkmtumbuh.go.id,KemitraanMaju2201%,sha256
AKUN000008,ADMIN,Fikri Nuraini,fikrinuraini8@umkmtumbuh.go.id,PelatihanDigital6386@,sha256
AKUN000009,ADMIN,Rambat Nugroho,rambat_nugroho.009@umkmtumbuh.go.id,PasarMaju6601$,sha256
AKUN000010,ADMIN,Prayuda Ningsih,pn00010@umkmtumbuh.go.id,SejahteraModal7665$,sha256
AKUN000011,ADMIN,Dhea Fitriani,df00011@umkmtumbuh.go.id,BerkahPelatihan9808%,sha256
AKUN000012,ADMIN,Yoga Azarel,yoga.00012@umkmtumbuh.go.id,KemitraanUMKM3744$,sha256
AKUN000013,ADMIN,Yuni Pangestu,yuni.pangestu13@umkmtumbuh.go.id,ModalMandiri4107@,sha256
AKUN000014,ADMIN,Febri Maryati,febrimaryati14@umkmtumbuh.go.id,TumbuhSejahtera4253$,sha256
AKUN000015,ADMIN,Adit Sutrisno,as00015@umkmtumbuh.go.id,ModalUMKM7444$,sha256
AKUN000016,ADMIN,Endang Prakoso,endangprakoso16@umkmtumbuh.go.id,KatalogModal2073$,sha256
AKUN000017,ADMIN,Mujiono Lestari,mujionolestari17@umkmtumbuh.go.id,PelatihanMaju6898%,sha256
AKUN000018,ADMIN,Devi Maulana,dm00018@umkmtumbuh.go.id,KatalogSejahtera9717@,sha256
AKUN000019,ADMIN,Syifa Mulyani,syifa.mulyani19@umkmtumbuh.go.id,ModalMaju5538!,sha256
AKUN000020,ADMIN,Dewi Ungu,dewi_ungu.020@umkmtumbuh.go.id,PasarDigital8166$,sha256
AKUN000021,ADMIN,Wahyu Subianto,wahyu.00021@umkmtumbuh.go.id,PelatihanPelatihan3780#,sha256
AKUN000022,ADMIN,Farhan Ramdani,farhan_ramdani.022@umkmtumbuh.go.id,MajuMaju3850@,sha256
AKUN000023,ADMIN,Salsa Wulandari,sw00023@umkmtumbuh.go.id,MandiriUsaha8691#,sha256
AKUN000024,ADMIN,Bagus Pawestri,baguspawestri24@umkmtumbuh.go.id,UMKMKatalog8408#,sha256
AKUN000025,ADMIN,Niken Wibowo,niken.00025@umkmtumbuh.go.id,NusantaraNusantara2236#,sha256
AKUN000026,ADMIN,Dinda Rahmawati,dindarahmawati26@umkmtumbuh.go.id,SejahteraKatalog1185%,sha256
AKUN000027,ADMIN,Pram Suryani,pram.00027@umkmtumbuh.go.id,UsahaSejahtera8391#,sha256
AKUN000028,ADMIN,Adeliya Hapsari,adeliya_hapsari.028@umkmtumbuh.go.id,MandiriSejahtera8087@,sha256
AKUN000029,ADMIN,Jonnathan Akmalin,jonnathanakmalin29@umkmtumbuh.go.id,KatalogMandiri1340$,sha256
AKUN000030,ADMIN,Meiva Sulistyo,meiva-sulistyo-0510@umkmtumbuh.go.id,ProdukTumbuh6854#,sha256
AKUN000031,ADMIN,Zahra Gunawan,zahra-gunawan-0527@umkmtumbuh.go.id,DigitalNusantara8364$,sha256
AKUN000032,ADMIN,Irfan Prabawa,ip00032@umkmtumbuh.go.id,ModalMaju5018$,sha256
AKUN000033,ADMIN,Retno Rahman,retno-rahman-0561@umkmtumbuh.go.id,MandiriSejahtera3218!,sha256
AKUN000034,ADMIN,Naufal Hidayat,naufal.hidayat34@umkmtumbuh.go.id,KemitraanSejahtera6911!,sha256
AKUN000035,ADMIN,Joko Cahyani,joko.00035@umkmtumbuh.go.id,UsahaPasar3925$,sha256
AKUN000036,ADMIN,Halimah Basuki,halimah-basuki-0612@umkmtumbuh.go.id,SejahteraPasar2065%,sha256
AKUN000037,ADMIN,Yuliana Manggala,ym00037@umkmtumbuh.go.id,UMKMKatalog7891$,sha256
AKUN000038,ADMIN,Nuraini Kusuma,nuraini.kusuma38@umkmtumbuh.go.id,PelatihanBerkah4525%,sha256
AKUN000039,ADMIN,Budi Azzahra,budi-azzahra-0663@umkmtumbuh.go.id,DigitalUMKM3476%,sha256
AKUN000040,ADMIN,Fitri Anggraini,fa00040@umkmtumbuh.go.id,UsahaKreatif7566!,sha256
AKUN000041,ADMIN,Nadia Wijayanti,nadia.wijayanti41@umkmtumbuh.go.id,ProdukModal4079@,sha256
AKUN000042,ADMIN,Arif Handayani,arif.handayani42@umkmtumbuh.go.id,ProdukPasar5811!,sha256
AKUN000043,ADMIN,Rahayu Wijaya,rahayu.wijaya43@umkmtumbuh.go.id,PasarKatalog9523%,sha256
AKUN000044,ADMIN,Rifqi Amalia,rifqi-amalia-0748@umkmtumbuh.go.id,PasarTumbuh6806$,sha256
AKUN000045,ADMIN,Citra Ade,citra_ade.045@umkmtumbuh.go.id,UMKMBerkah2760#,sha256
AKUN000046,ADMIN,Rizka Syakira,rizka_syakira.046@umkmtumbuh.go.id,MandiriUMKM8069@,sha256
AKUN000047,ADMIN,Dwi Fauziah,dwi.fauziah47@umkmtumbuh.go.id,TumbuhKreatif6814@,sha256
AKUN000048,ADMIN,Rasyid Widodo,rasyid_widodo.048@umkmtumbuh.go.id,SejahteraSejahtera4618@,sha256
AKUN000049,ADMIN,Anindya Haryanto,anindyaharyanto49@umkmtumbuh.go.id,KatalogTumbuh4521#,sha256
AKUN000050,ADMIN,Angelina Kurniawan,angelina-kurniawan-0850@umkmtumbuh.go.id,DigitalSejahtera7281#,sha256
AKUN000051,ADMIN,Rama Firmansyah,ramafirmansyah51@umkmtumbuh.go.id,UsahaBerkah3738#,sha256
AKUN000052,ADMIN,Eka Ramadhan,eka_ramadhan.052@umkmtumbuh.go.id,UMKMKatalog7725%,sha256
AKUN000053,ADMIN,Rizqi Ryannareta,rizqi_ryannareta.053@umkmtumbuh.go.id,ProdukNusantara2710%,sha256
AKUN000054,ADMIN,Lukman Yusnita,lukman_yusnita.054@umkmtumbuh.go.id,PelatihanUMKM4006$,sha256
AKUN000055,ADMIN,Dewanto Fadhilah,dewanto.fadhilah55@umkmtumbuh.go.id,ModalSejahtera9394%,sha256
AKUN000056,ADMIN,Slamet Ramadhani,slametramadhani56@umkmtumbuh.go.id,PelatihanMandiri7539$,sha256
AKUN000057,ADMIN,Rengga Anjani,renggaanjani57@umkmtumbuh.go.id,PelatihanMandiri3767#,sha256
AKUN000058,ADMIN,Rohman Santoso,rohman.00058@umkmtumbuh.go.id,MandiriMaju9042!,sha256
AKUN000059,ADMIN,Agus Sari,agus.sari59@umkmtumbuh.go.id,MandiriKemitraan2822#,sha256
AKUN000060,ADMIN,Tri Puspita,tripuspita60@umkmtumbuh.go.id,TumbuhMaju6155$,sha256
AKUN000061,ADMIN,Intan Aryati,intan-aryati-1037@umkmtumbuh.go.id,KreatifPasar8723@,sha256
AKUN000062,ADMIN,Nugroho Afifansyah,nugroho_afifansyah.062@umkmtumbuh.go.id,KemitraanBerkah1122#,sha256
AKUN000063,ADMIN,Sekar Wicaksono,sekar.wicaksono63@umkmtumbuh.go.id,NusantaraKemitraan1886#,sha256
AKUN000064,ADMIN,Ilham Herlambang,ilham.herlambang64@umkmtumbuh.go.id,ProdukPasar3331@,sha256
