akun_id,peran_id,nama_lengkap,email,no_hp,password_hash,status_aktif,email_verified_at,last_login_at,created_at,updated_at
AKUN000001,ADMIN,Hendra Purnomo,hendra-purnomo-0017@umkmtumbuh.go.id,0812882873521,sha256$gBUz9O1k3nAD6D9ziBnfyg$b953045036b49b9cbdbf169db3dc7ba8b95950009d16f781775d8f84ccda15da,true,2024-01-27 18:25:07,2026-01-25 09:28:31,2024-01-24 20:25:07,2026-01-25 09:28:31
AKUN000002,ADMIN,Fajar Anwar,fajaranwar2@umkmtumbuh.go.id,08992619300,sha256$ST6btJbKOA63ZFWXv_ubfw$00679de05bfe2ae864f3827966b99d2cc6e1b3a19231838149ce6885214384d1,true,2024-12-13 02:33:52,2025-07-27 09:07:22,2024-12-10 07:33:52,2025-07-27 09:07:22
AKUN000003,ADMIN,Lestari Astuti,lestari.00003@umkmtumbuh.go.id,0852179835423,sha256$GD-eDCIWMrZ047QXb7pb3w$8536b6407d64b83a0e6d06955273402c8172ced282d253e6d02deb876104a167,true,2024-07-20 16:58:42,2025-04-29 15:41:24,2024-07-19 07:58:42,2025-04-29 15:41:24
AKUN000004,ADMIN,Andi Artanti,andiartanti4@umkmtumbuh.go.id,08975754210,sha256$7VuEQLsrbP5hoSO38CHmMw$cf004dac9aab633fefa5f900aed2d9a3bbb0b99fafe427fb17b425d3995c73b1,true,2025-12-15 11:05:59,2026-02-11 18:57:07,2025-12-11 12:05:59,2026-02-11 18:57:07
AKUN000005,ADMIN,Hana Cahyono,hana-cahyono-0085@umkmtumbuh.go.id,0851196416196,sha256$EXDbSbd5Vyz9wEqiXZa10A$33e46667bb13146c0b09f90b896915fbe6f7c35211480a10a1868e0dd119577b,true,2025-02-09 16:34:59,2026-03-08 14:30:05,2025-02-07 02:34:59,2026-03-08 14:30:05
AKUN000006,ADMIN,Vina Mutmainah,vina-mutmainah-0102@umkmtumbuh.go.id,08953271041,sha256$9ycpgKto54BeN5et2kqzmQ$d041d3fa9785b83d6a9444817448fd297345be6c71258310b67c359a832fefd8,true,2024-03-11 07:15:53,2025-06-26 17:56:57,2024-03-08 03:15:53,2025-06-26 17:56:57
AKUN000007,ADMIN,Mega Kusumawati,mega_kusumawati.007@umkmtumbuh.go.id,088197264972,sha256$T-j5arfyo6MW6QjZYCLpWA$59138b8f62ed57dfb562f760a511e751c54604d00d773e9269f03203ce153d60,true,2025-10-24 14:46:45,2026-01-02 01:33:18,2025-10-23 06:46:45,2026-01-02 01:33:18
AKUN000008,ADMIN,Fikri Nuraini,fikrinuraini8@umkmtumbuh.go.id,085685186676,sha256$InOXK9v3CNbuCULpjGl_vw$5ed497054c50bff6d3256b24ed31083cd19812f705e66783778911036386cd45,true,2026-01-04 18:00:22,2026-01-28 01:19:44,2026-01-01 02:00:22,2026-01-28 01:19:44
AKUN000009,ADMIN,Rambat Nugroho,rambat_nugroho.009@umkmtumbuh.go.id,081350507206,sha256$NQnJZ_eSIMEM5IOqFQwgUg$a67cfd6bf3dea605025c30c60044723b9c6ecfffdceabc919d4f9584d9dab0e8,true,2024-12-03 08:53:10,,2024-11-30 09:53:10,2024-11-30 09:53:10
AKUN000010,ADMIN,Prayuda Ningsih,pn00010@umkmtumbuh.go.id,0812856596609,sha256$P0mT3Wm_3wH4zXiHVqSpfw$3eac5dac2309a6b5853a763a8ec2f7801dffc85f7cf2b78e6e52a80ac7d747c4,true,2025-02-07 22:48:33,2025-08-19 11:39:45,2025-02-04 13:48:33,2025-08-19 11:39:45
AKUN000011,ADMIN,Dhea Fitriani,df00011@umkmtumbuh.go.id,089974910085,sha256$tTBBZA8f3L6PpOy_8wQ9sg$f13e38a1086ac5f1f56741a1ef22e33977071d4a1ee9892635c6e165ec7e390b,true,2025-05-04 15:15:37,2025-06-10 23:53:54,2025-05-02 05:15:37,2025-06-10 23:53:54
AKUN000012,ADMIN,Yoga Azarel,yoga.00012@umkmtumbuh.go.id,08819937845,sha256$Qvs7py6NcfcqNiF6qUA7pw$09f04edec56b305e5d218e0e4972fcef28e1b25adbb7684e70f6ee819be7582c,true,2026-01-04 13:50:56,2026-02-21 21:25:47,2026-01-04 07:50:56,2026-02-21 21:25:47
AKUN000013,ADMIN,Yuni Pangestu,yuni.pangestu13@umkmtumbuh.go.id,0857182991830,sha256$z2Fg6lrLFaqTVMy1aUK7nA$fd67db562aefdae6df78c4f4de7af8a8fd7c8b7392494beabd6a71c15a1aa1d0,true,2024-12-27 19:09:40,2026-01-05 21:59:51,2024-12-25 13:09:40,2026-01-05 21:59:51
AKUN000014,ADMIN,Febri Maryati,febrimaryati14@umkmtumbuh.go.id,0813215458811,sha256$nlipkUVxyyOgzCF2GeaO2A$86d425cca2ac39cf1c2cb9cf2e681c55c55d128f3a4d64afa5e249faee69248d,true,2026-04-07 13:32:13,2026-04-25 23:14:19,2026-04-04 15:32:13,2026-04-25 23:14:19
AKUN000015,ADMIN,Adit Sutrisno,as00015@umkmtumbuh.go.id,085584986640,sha256$RyGvCAxuIg4zrYRoXfPJrQ$e470b8587bd797cf0625f9ea12076f535cb799d1e2893db84069ebb993a40699,true,2025-05-12 15:08:42,2025-06-04 04:31:57,2025-05-12 14:08:42,2025-06-04 04:31:57
AKUN000016,ADMIN,Endang Prakoso,endangprakoso16@umkmtumbuh.go.id,0881280755598,sha256$jVT7IC1f05FnsL5Utmx1hg$96029d989c4e688ed4ba0d30227462af77b8bde8530583181b2c442cfef20305,true,2024-03-10 19:46:23,2024-08-17 04:54:01,2024-03-08 01:46:23,2024-08-17 04:54:01
AKUN000017,ADMIN,Mujiono Lestari,mujionolestari17@umkmtumbuh.go.id,085787739461,sha256$HJTu9tlQFbqg9KjU53TPDw$92a78ba249083c24902a7fdb266cc59069b32cb5b33505632fd01c78bbfc1348,true,2026-06-01 04:22:21,,2026-05-28 18:22:21,2026-05-28 18:22:21
