mitra_id,kode_mitra,akun_id,diverifikasi_oleh_admin_id,lokasi_id,jenis_mitra_id,status_mitra_id,skala_kerjasama_id,nama_mitra,nama_badan_hukum,nib,npwp,nama_pic,jabatan_pic,kontak_pic,email_pic,alamat_mitra,wilayah_operasional,deskripsi_dukungan,logo_url,foto_cover_url,status_verified,is_deleted,deleted_at,archived_at,created_at,updated_at
MTR000001,MITRA-2026-00001,AKUN005251,,LOK000024,JM03,MENUNGGU_VERIFIKASI,NASIONAL,CV Keuangan Rakyat,CV Keuangan Rakyat,1294804638411,51.323.321.2-568.564,Mega Santoso,PIC CSR,085539800765,cs-cv-keuangan-rakyat@mitra.id,"Jl. Diponegoro No. 121 RT 04/RW 08, kantor operasional CV Keuangan Rakyat",Nasional,"CV Keuangan Rakyat membuka program kolaborasi untuk UMKM pada bidang desain kemasan, pemasaran, distribusi, digitalisasi dengan bentuk dukungan pendampingan konten, kemitraan penjualan.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000001.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000001.webp,false,false,,,2025-03-19 03:08:36,2025-05-27 03:08:36
MTR000002,MITRA-2026-00002,AKUN005252,ADM000060,LOK000047,JM01,AKTIF,NASIONAL,Badan Karya Bersama,Badan Karya Bersama Mandiri,1803789564092,73.323.344.3-299.231,Fikri Sari,PIC CSR,085384219907,order.badan-karya-bersama@go.id,"Jl. Brigjen Katamso Kav. 73 Blok E, kantor operasional Badan Karya Bersama",Solo Raya,"Badan Karya Bersama mendukung UMKM melalui kelas pelatihan, kurasi produk, konsultasi legal pada bidang pelatihan, sertifikasi produk. Fokus program disesuaikan dengan kebutuhan legalitas, pemasaran, dan peningkatan kapasitas usaha.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000002.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000002.webp,true,false,,,2024-11-21 23:07:57,2024-12-12 23:07:57
MTR000003,MITRA-2026-00003,AKUN005253,ADM000190,LOK000070,JM07,AKTIF,LOKAL,PT Sentra Pendampingan,PT Sentra Pendampingan,1317565384770,58.494.258.4-482.500,Rambat Puspita,Manajer Program,0855426032999,pt-sentra-pendampingan003@gmail.com,"Pasar Tembalang Los C-153, kantor operasional PT Sentra Pendampingan",Kabupaten/Kota,"PT Sentra Pendampingan mendukung UMKM melalui kemitraan penjualan, promosi digital pada bidang pemasaran, promosi digital, akses marketplace. Fokus program disesuaikan dengan kebutuhan legalitas, pemasaran, dan peningkatan kapasitas usaha.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000003.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000003.webp,true,false,,,2024-09-15 03:25:44,2024-09-25 03:25:44
MTR000004,MITRA-2026-00004,AKUN005254,ADM000079,LOK000093,JM10,AKTIF,LOKAL,Studio Rumah Kemasan,Studio Rumah Kemasan Mandiri,,22.303.391.5-516.369,Fatih Astuti,Koordinator Kemitraan,08231026486,sales-studio-rumah-kemasan@corp.id,"Kompleks Ruko Mutiara Blok C No. 57, kantor operasional Studio Rumah Kemasan",Solo Raya,"Studio Rumah Kemasan mendukung UMKM melalui kurasi produk, promosi digital pada bidang promosi digital, pemasaran. Fokus program disesuaikan dengan kebutuhan legalitas, pemasaran, dan peningkatan kapasitas usaha.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000004.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000004.webp,true,false,,,2025-03-28 01:56:38,2025-06-14 01:56:38
MTR000005,MITRA-2026-00005,AKUN005255,ADM000073,LOK000116,JM09,AKTIF,LOKAL,Inkubator Mandiri Sejahtera,Inkubator Mandiri Sejahtera Mandiri,9133225519757,,Bahlil Meidiyana,Koordinator Kemitraan,081268581765,usaha05.inkubator-mandiri-sejahtera@or.id,"Jl. Lingkar Utara Gang Werkudara No. 59, kantor operasional Inkubator Mandiri Sejahtera",Kabupaten/Kota,"Inkubator Mandiri Sejahtera membuka program kolaborasi untuk UMKM pada bidang digitalisasi, pemasaran dengan bentuk dukungan klinik konsultasi, kurasi produk, kelas pelatihan.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000005.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000005.webp,true,false,,,2026-04-15 08:49:37,2026-04-29 08:49:37
MTR000006,MITRA-2026-00006,AKUN005256,ADM000136,LOK000139,JM01,AKTIF,EKSPOR,UPT Pasar Online Indonesia,UPT Pasar Online Indonesia Mandiri,1848162315218,84.337.293.7-544.565,Khairunnisa Pangestu,Kepala Divisi UMKM,088858434073,upt-pasar-online-indonesia006@gmail.com,"Jl. Dr. Rajiman Gang Cempaka No. 174, kantor operasional UPT Pasar Online Indonesia",Kabupaten/Kota,"UPT Pasar Online Indonesia berperan sebagai mitra pendamping yang menyediakan klinik konsultasi, kelas pelatihan bagi UMKM terkurasi.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000006.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000006.webp,true,false,,,2026-05-07 17:46:14,2026-06-07 17:46:14
MTR000007,MITRA-2026-00007,AKUN005257,ADM000008,LOK000162,JM03,AKTIF,LOKAL,PT Pasar Rakyat,PT Pasar Rakyat,9155423033259,69.432.543.8-515.496,Hafizh Maryati,Manajer Program,089654169697,usaha07.pt-pasar-rakyat@or.id,"Sentra UMKM Colomadu, Kios C188, kantor operasional PT Pasar Rakyat",Nasional,"PT Pasar Rakyat membuka program kolaborasi untuk UMKM pada bidang distribusi, desain kemasan, pemasaran, digitalisasi dengan bentuk dukungan kurasi produk, klinik konsultasi, akses gudang, promosi digital.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000007.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000007.webp,true,false,,,2024-06-13 10:57:37,2024-06-20 10:57:37
MTR000008,MITRA-2026-00008,AKUN005258,ADM000248,LOK000185,JM09,AKTIF,KABUPATEN,Lembaga Nusantara Berdaya,Lembaga Nusantara Berdaya Mandiri,,41.401.477.9-587.558,Nurul Sutrisno,Kepala Divisi UMKM,08958802249,lembaga-nusantara-berdaya008@or.id,"Pasar Grogol Los E-145, kantor operasional Lembaga Nusantara Berdaya",Kabupaten/Kota,"Lembaga Nusantara Berdaya mendukung UMKM melalui promosi digital, klinik konsultasi, kurasi produk, kelas pelatihan pada bidang digitalisasi, pemasaran, pendampingan bisnis. Fokus program disesuaikan dengan kebutuhan legalitas, pemasaran, dan peningkatan kapasitas usaha.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000008.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000008.webp,true,false,,,2026-02-02 14:51:43,2026-02-09 14:51:43
MTR000009,MITRA-2026-00009,AKUN005259,ADM000020,LOK000208,JM07,AKTIF,KABUPATEN,PT Sahabat Produk Lokal,PT Sahabat Produk Lokal,1881475665189,66.532.593.1-732.533,Naufan Prakoso,Manajer Program,0821187302802,order-pt-sahabat-produk-lokal@mitra.id,"Kompleks Ruko Mutiara Blok G No. 86, kantor operasional PT Sahabat Produk Lokal",Online Nasional,"PT Sahabat Produk Lokal membuka program kolaborasi untuk UMKM pada bidang pemasaran, digitalisasi, akses marketplace, promosi digital dengan bentuk dukungan klinik konsultasi, pendampingan konten, kemitraan penjualan.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000009.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000009.webp,true,false,,,2025-09-23 04:28:26,2025-09-28 04:28:26
MTR000010,MITRA-2026-00010,AKUN005260,ADM000042,LOK000231,JM09,AKTIF,NASIONAL,Akselerator Sahabat UMKM,Akselerator Sahabat UMKM Mandiri,2189253457848,,Sriyono Lestari,Business Development,082149703588,info-akselerator-sahabat-umkm@ac.id,"Jl. Setiabudi Kav. 88 Blok A, kantor operasional Akselerator Sahabat UMKM",Jawa-Bali,"Akselerator Sahabat UMKM membuka program kolaborasi untuk UMKM pada bidang digitalisasi, pendampingan bisnis, pemasaran dengan bentuk dukungan mentoring, kelas pelatihan, kurasi produk, pendampingan konten.",https://cdn.umkmtumbuh.local/mitra/logo/mtr000010.webp,https://cdn.umkmtumbuh.local/mitra/cover/mtr000010.webp,true,false,,,2025-03-14 09:21:42,2025-05-01 09:21:42
