pelaku_umkm_id,akun_id,nama_pelaku,nik,no_hp,email,alamat,status_aktif,is_deleted,deleted_at,archived_at,created_at,updated_at
PLK000001,AKUN000251,Wulan Amin,3372014206748592,085879174102,wulan.00251@umkm.id,Alamat sesuai lokasi usaha Bengkel Catering Barokah Hair,true,false,,,2024-05-29 01:06:33,2024-05-30 01:06:33
PLK000002,AKUN000252,Mursid Mahardika,3372035806932919,088175009315,mursid_mahardika.252@gmail.com,Alamat sesuai lokasi usaha Karya Oleh-Oleh Solo Dimsum,true,false,,,2024-07-15 09:07:43,2024-07-17 09:07:43
PLK000003,AKUN000253,Nur Nugraha,3578015611894024,08569210983,nur-nugraha-4301@gmail.com,Alamat sesuai lokasi usaha Rumah Produksi Eco Craft Paket,true,false,,,2025-05-07 01:57:13,2025-05-10 01:57:13
PLK000004,AKUN000254,Putri Rohmah,3372014310924722,085514351150,putrirohmah254@gmail.com,Alamat sesuai lokasi usaha Sanggar Sinar Baru Face,true,false,,,2025-02-09 13:33:13,2025-02-13 13:33:13
PLK000005,AKUN000255,Aulia Pratiwi,3471025212732250,089685368698,aulia_pratiwi.255@yahoo.co.id,Alamat sesuai lokasi usaha Lapak Rasa Nusantara Outer,true,false,,,2024-05-02 04:13:27,2024-05-07 04:13:27
PLK000006,AKUN000256,Teguh Kusnadi,3578025504924740,085674967162,teguh_kusnadi.256@gmail.com,Alamat sesuai lokasi usaha Studio Kopi Kartasura Servis,true,false,,,2024-07-01 21:04:32,2024-07-07 21:04:32
PLK000007,AKUN000257,Kirana Saputra,3323012808919074,08534970638,kirana.saputra63@gmail.com,Alamat sesuai lokasi usaha Pawon Rajut Cantik Kacang,true,false,,,2024-01-04 18:56:15,2024-01-11 18:56:15
PLK000008,AKUN000258,Dimas Permata,3372041105973849,081118923276,dimaspermata258@gmail.com,Alamat sesuai lokasi usaha Dapur Kue Tradisi Tas,true,false,,,2024-11-06 06:09:38,2024-11-14 06:09:38
PLK000009,AKUN000259,Aditya Haunan,3578021410868689,081183186024,adityahaunan259@icloud.com,Alamat sesuai lokasi usaha Koperasi Berkah Kaos,true,false,,,2025-01-14 02:06:00,2025-01-23 02:06:00
PLK000010,AKUN000260,Naila Hylmi,3372034207034001,088282598328,naila.hylmi66@gmail.com,Alamat sesuai lokasi usaha Depot Mandiri Bumbu,true,false,,,2024-05-19 00:54:34,2024-05-29 00:54:34
PLK000011,AKUN000261,Reza Lahadalia,3322014703987052,082367718713,reza.lahadalia67@mail.com,Alamat sesuai lokasi usaha Galeri Kriya Indah Laundry,true,false,,,2024-04-06 10:23:09,2024-04-17 10:23:09
PLK000012,AKUN000262,Raihan Syahputra,3273025106886031,0812408474385,raihan-syahputra-4454@gmail.com,Alamat sesuai lokasi usaha Workshop Digital Kreatif Paket,true,false,,,2025-07-09 04:51:28,2025-07-21 04:51:28
PLK000013,AKUN000263,Viola Susanti,3322010707738420,088242738878,viola.00263@icloud.com,Alamat sesuai lokasi usaha Kedai Rempah Nusantara Template,true,false,,,2025-07-23 05:39:52,2025-08-05 05:39:52
PLK000014,AKUN000264,Aisyah Rachman,3325010910826956,082162487512,aisyah-rachman-4488@outlook.com,Alamat sesuai lokasi usaha Toko Bumi Pangan Kacang,true,false,,,2025-05-27 08:55:07,2025-06-10 08:55:07
