akun_id,peran_id,nama_lengkap,email,plaintext_password,password_hash_algo
AKUN000001,ADMIN,Hendra Purnomo,hendra-purnomo-0017@umkmtumbuh.go.id,password123,bcrypt
AKUN000002,ADMIN,Fajar Anwar,fajaranwar2@umkmtumbuh.go.id,password123,bcrypt
AKUN000003,ADMIN,Lestari Basuki,lestari.00003@umkmtumbuh.go.id,password123,bcrypt
AKUN000004,ADMIN,Andi Manggala,andi.00004@umkmtumbuh.go.id,password123,bcrypt
AKUN000005,ADMIN,Hana Praisylia,hana.00005@umkmtumbuh.go.id,password123,bcrypt
AKUN000006,ADMIN,Vina Fauziah,vina.00006@umkmtumbuh.go.id,password123,bcrypt
AKUN000007,ADMIN,Mega Widodo,mega.widodo7@umkmtumbuh.go.id,password123,bcrypt
AKUN000008,ADMIN,Fikri Haryanto,fikriharyanto8@umkmtumbuh.go.id,password123,bcrypt
AKUN000009,ADMIN,Rambat Kurniawan,rambatkurniawan9@umkmtumbuh.go.id,password123,bcrypt
AKUN000010,ADMIN,Fatih Firmansyah,fatih_firmansyah.010@umkmtumbuh.go.id,password123,bcrypt
AKUN000011,ADMIN,Bahlil Fauzi,bahlil-fauzi-0187@umkmtumbuh.go.id,password123,bcrypt
AKUN000012,ADMIN,Khairunnisa Pertiwi,kp00012@umkmtumbuh.go.id,password123,bcrypt
AKUN000013,ADMIN,Hafizh Akmalin,hafizhakmalin13@umkmtumbuh.go.id,password123,bcrypt
AKUN000014,ADMIN,Nurul Cahyono,nurul_cahyono.014@umkmtumbuh.go.id,password123,bcrypt
AKUN000015,ADMIN,Naufan Mutmainah,naufan.mutmainah15@umkmtumbuh.go.id,password123,bcrypt
AKUN000016,ADMIN,Sriyono Kusumawati,sriyono.kusumawati16@umkmtumbuh.go.id,password123,bcrypt
AKUN000017,ADMIN,Latifah Nuraini,ln00017@umkmtumbuh.go.id,password123,bcrypt
AKUN000018,ADMIN,Krisna Nugroho,kn00018@umkmtumbuh.go.id,password123,bcrypt
AKUN000019,ADMIN,Novi Ningsih,novi_ningsih.019@umkmtumbuh.go.id,password123,bcrypt
AKUN000020,ADMIN,Siti Amalia,sitiamalia20@umkmtumbuh.go.id,password123,bcrypt
AKUN000021,ADMIN,Yusuf Ade,yusufade21@umkmtumbuh.go.id,password123,bcrypt
AKUN000022,ADMIN,Rizky Dzaki,rizky_dzaki.022@umkmtumbuh.go.id,password123,bcrypt
AKUN000023,ADMIN,Maya Fadhilah,maya_fadhilah.023@umkmtumbuh.go.id,password123,bcrypt
AKUN000024,ADMIN,Rafi Ramadhani,rafi.ramadhani24@umkmtumbuh.go.id,password123,bcrypt
AKUN000025,ADMIN,Mila Anjani,mila.anjani25@umkmtumbuh.go.id,password123,bcrypt
AKUN000026,ADMIN,Rangga Santoso,rs00026@umkmtumbuh.go.id,password123,bcrypt
AKUN000027,ADMIN,Hanif Sari,hanif.00027@umkmtumbuh.go.id,password123,bcrypt
AKUN000028,ADMIN,Nisa Puspita,np00028@umkmtumbuh.go.id,password123,bcrypt
AKUN000029,ADMIN,Yoeke Astuti,yoeke.astuti29@umkmtumbuh.go.id,password123,bcrypt
AKUN000030,ADMIN,Anindya Meidiyana,anindya-meidiyana-0510@umkmtumbuh.go.id,password123,bcrypt
AKUN000031,ADMIN,Angelina Pangestu,ap00031@umkmtumbuh.go.id,password123,bcrypt
AKUN000032,ADMIN,Yoga Maryati,yoga-maryati-0544@umkmtumbuh.go.id,password123,bcrypt
AKUN000033,ADMIN,Yuni Sutrisno,yuni.00033@umkmtumbuh.go.id,password123,bcrypt
AKUN000034,ADMIN,Febri Prakoso,febri_prakoso.034@umkmtumbuh.go.id,password123,bcrypt
AKUN000035,ADMIN,Adit Lestari,adit-lestari-0595@umkmtumbuh.go.id,password123,bcrypt
AKUN000036,ADMIN,Endang Maulana,endangmaulana36@umkmtumbuh.go.id,password123,bcrypt
AKUN000037,ADMIN,Mujiono Ramadhan,mujiono.ramadhan37@umkmtumbuh.go.id,password123,bcrypt
AKUN000038,ADMIN,Devi Ryannareta,dr00038@umkmtumbuh.go.id,password123,bcrypt
AKUN000039,ADMIN,Syifa Herfina,syifa.herfina39@umkmtumbuh.go.id,password123,bcrypt
AKUN000040,ADMIN,Dewi Wicaksono,dewi_wicaksono.040@umkmtumbuh.go.id,password123,bcrypt
AKUN000041,ADMIN,Wahyu Herlambang,wahyuherlambang41@umkmtumbuh.go.id,password123,bcrypt
AKUN000042,ADMIN,Farhan Setyowati,farhan-setyowati-0714@umkmtumbuh.go.id,password123,bcrypt
AKUN000043,ADMIN,Salsa Asih,salsa.asih43@umkmtumbuh.go.id,password123,bcrypt
AKUN000044,ADMIN,Bagus Wahyuni,bagus_wahyuni.044@umkmtumbuh.go.id,password123,bcrypt
AKUN000045,ADMIN,Niken Pramono,np00045@umkmtumbuh.go.id,password123,bcrypt
AKUN000046,ADMIN,Dinda Fitriani,dinda.fitriani46@umkmtumbuh.go.id,password123,bcrypt
AKUN000047,ADMIN,Pram Azarel,pram_azarel.047@umkmtumbuh.go.id,password123,bcrypt
AKUN000048,ADMIN,Adeliya Syakira,adeliya.syakira48@umkmtumbuh.go.id,password123,bcrypt
AKUN000049,ADMIN,Jonnathan Ramdani,jonnathan_ramdani.049@umkmtumbuh.go.id,password123,bcrypt
AKUN000050,ADMIN,Viola Wulandari,violawulandari50@umkmtumbuh.go.id,password123,bcrypt
AKUN000051,ADMIN,Gloria Pawestri,gp00051@umkmtumbuh.go.id,password123,bcrypt
AKUN000052,ADMIN,Taufik Wibowo,taufik_wibowo.052@umkmtumbuh.go.id,password123,bcrypt
AKUN000053,ADMIN,Ratna Rahmawati,rr00053@umkmtumbuh.go.id,password123,bcrypt
AKUN000054,ADMIN,Salma Harlitasari,salma_harlitasari.054@umkmtumbuh.go.id,password123,bcrypt
AKUN000055,ADMIN,Sulastri Aryati,sa00055@umkmtumbuh.go.id,password123,bcrypt
AKUN000056,ADMIN,Mardiyah Artanti,mardiyah.00056@umkmtumbuh.go.id,password123,bcrypt
AKUN000057,ADMIN,Suyatno Nugraha,suyatno.nugraha57@umkmtumbuh.go.id,password123,bcrypt
AKUN000058,ADMIN,Puspita Rohmah,puspita.rohmah58@umkmtumbuh.go.id,password123,bcrypt
AKUN000059,ADMIN,Anisa Pratiwi,anisa.pratiwi59@umkmtumbuh.go.id,password123,bcrypt
AKUN000060,ADMIN,Rina Kusnadi,rina.00060@umkmtumbuh.go.id,password123,bcrypt
AKUN000061,ADMIN,Dian Saputra,dian_saputra.061@umkmtumbuh.go.id,password123,bcrypt
AKUN000062,ADMIN,Bayu Permata,bayu_permata.062@umkmtumbuh.go.id,password123,bcrypt
AKUN000063,ADMIN,Kartika Mulyani,kartika.00063@umkmtumbuh.go.id,password123,bcrypt
AKUN000064,ADMIN,Galih Ungu,galih-ungu-1088@umkmtumbuh.go.id,password123,bcrypt
AKUN000065,ADMIN,Miftah Yusnita,miftah.yusnita65@umkmtumbuh.go.id,password123,bcrypt
AKUN000066,ADMIN,Fauzan Sulistyo,fs00066@umkmtumbuh.go.id,password123,bcrypt
AKUN000067,ADMIN,Annisa Gunawan,annisa-gunawan-1139@umkmtumbuh.go.id,password123,bcrypt
AKUN000068,ADMIN,Lois Prabawa,lois.00068@umkmtumbuh.go.id,password123,bcrypt
